sku,name,price,description,stock,image_path
MED0083,"Basic Component Ultra",979.61,"State-of-the-art component with modern design",807,sample-images/product-102.jpg
MED0084,"Professional System Max",184.75,"State-of-the-art system with modern design",22,sample-images/product-066.jpg
MED0085,"Smart Kit Ultra",206.44,"State-of-the-art kit with modern design",379,sample-images/product-022.jpg
MED0086,"Basic Tool Pro",903.86,"High quality tool for professional use",800,sample-images/product-123.jpg
MED0087,"Professional Gadget A",581.04,"High quality gadget for professional use",157,sample-images/product-141.jpg
MED0088,"Pro Component Z",211.02,"State-of-the-art component with modern design",808,sample-images/product-011.jpg
MED0089,"Premium Kit Mini",527.03,"Perfect kit for everyday tasks",888,sample-images/product-064.jpg
MED0090,"Super Component A",783.48,"Perfect component for everyday tasks",22,sample-images/product-154.jpg
MED0091,"Professional Component Max",904.96,"State-of-the-art component with modern design",845,sample-images/product-182.jpg
MED0092,"Deluxe Unit Max",228.38,"State-of-the-art unit with modern design",56,sample-images/product-105.jpg
MED0093,"Super System Mini",493.58,"Perfect system for everyday tasks",159,sample-images/product-166.jpg
MED0094,"Deluxe Component X",500.15,"Perfect component for everyday tasks",732,sample-images/product-122.jpg
MED0095,"Deluxe Module Mini",425.91,"High quality module for professional use",605,sample-images/product-121.jpg
MED0096,"Professional Apparatus B",835.33,"Reliable apparatus with advanced features",29,sample-images/product-126.jpg
MED0097,"Smart System X",800.49,"High quality system for professional use",788,sample-images/product-121.jpg
MED0098,"Professional Kit X",903.10,"State-of-the-art kit with modern design",304,sample-images/product-105.jpg
MED0099,"Super Component C",393.35,"Reliable component with advanced features",477,sample-images/product-095.jpg
MED0100,"Ultra Gadget Pro",570.76,"State-of-the-art gadget with modern design",201,sample-images/product-040.jpg
